State,State Abbreviation,Date closed K-12 public schools,Closed day cares,Date banned visitors to nursing homes,Closed other non-essential businesses,Closed restaurants except take out,Closed gyms,Closed movie theaters,Closed Bars,Began to reopen businesses statewide,Reopen restaurants,Initially reopen restaurants for outdoor dining only,Reopened gyms,Reopened movie theaters,Reopened hair salons/barber shops,Reopen Religious gatherings,Reopen other non-essential retail,Reopen bars,Reopen Childcare,Begin to Re-Close Bars,Re-Close Bars (statewide),Re-Close Movie Theaters (statewide),Re-Close Gyms (statewide),Re-Close Indoor Dining (Statewide)
Alabama,AL,3/20/2020,3/20/2020,3/19/2020,3/28/2020,3/19/2020,3/28/2020,3/28/2020,3/19/2020,4/30/2020,5/11/2020,0,5/11/2020,5/22/2020,5/11/2020,5/11/2020,4/30/2020,5/11/2020,5/23/2020,0,0,0,0,0
Alaska,AK,3/16/2020,0,0,3/24/2020,3/18/2020,3/18/2020,3/18/2020,3/18/2020,4/24/2020,4/24/2020,0,5/8/2020,5/8/2020,4/24/2020,5/8/2020,4/24/2020,5/8/2020,0,0,0,0,0,0
Arizona,AZ,3/16/2020,0,0,3/31/2020,3/21/2020,3/21/2020,3/21/2020,3/21/2020,5/8/2020,5/11/2020,0,5/13/2020,5/16/2020,5/8/2020,0,5/8/2020,5/16/2020,0,6/29/2020,6/29/2020,6/29/2020,6/29/2020,0
Arkansas,AR,3/17/2020,0,3/13/2020,4/6/2020,3/20/2020,3/20/2020,3/20/2020,3/20/2020,5/4/2020,5/11/2020,0,5/4/2020,5/18/2020,5/6/2020,0,5/18/2020,5/19/2020,0,0,0,0,0,0
California,CA,3/23/2020,0,0,3/19/2020,3/16/2020,3/19/2020,3/19/2020,3/16/2020,5/8/2020,5/18/2020,0,0,0,8/28/2020,5/25/2020,5/8/2020,0,0,0,0,0,0,7/13/2020
Colorado,CO,3/23/2020,0,3/12/2020,3/19/2020,3/17/2020,3/17/2020,3/17/2020,3/17/2020,5/1/2020,5/27/2020,0,6/4/2020,6/18/2020,5/1/2020,6/4/2020,5/1/2020,6/18/2020,0,6/30/2020,6/30/2020,0,0,0
Connecticut,CT,3/17/2020,0,3/9/2020,3/23/2020,3/16/2020,3/16/2020,3/16/2020,3/16/2020,5/20/2020,5/20/2020,1,6/17/2020,6/17/2020,6/1/2020,5/29/2020,5/20/2020,0,0,0,0,0,0,0
Delaware,DE,3/16/2020,4/6/2020,0,3/24/2020,3/16/2020,3/19/2020,3/19/2020,3/16/2020,5/8/2020,6/1/2020,0,6/1/2020,6/1/2020,6/8/2020,5/20/2020,5/20/2020,6/15/2020,6/15/2020,7/3/2020,0,0,0,0
District of Columbia,DC,3/16/2020,0,0,3/25/2020,3/16/2020,3/17/2020,3/17/2020,3/16/2020,5/29/2020,5/29/2020,1,6/22/2020,6/22/2020,5/29/2020,6/22/2020,6/22/2020,5/29/2020,0,0,0,0,0,0
Florida,FL,3/17/2020,0,3/15/2020,4/3/2020,4/3/2020,4/3/2020,4/3/2020,3/17/2020,5/18/2020,5/18/2020,0,5/18/2020,6/5/2020,5/11/2020,0,5/18/2020,6/5/2020,0,6/26/2020,6/26/2020,0,0,0
Georgia,GA,3/18/2020,0,4/3/2020,4/3/2020,4/3/2020,4/3/2020,4/3/2020,3/24/2020,5/1/2020,4/27/2020,0,4/24/2020,4/27/2020,4/24/2020,1/0/1900,4/23/2020,6/1/2020,0,0,0,0,0,0
Hawaii,HI,3/16/2020,0,3/17/2020,3/25/2020,3/17/2020,3/25/2020,3/17/2020,3/17/2020,5/7/2020,6/5/2020,0,6/19/2020,6/19/2020,5/29/2020,5/18/2020,5/7/2020,6/26/2020,0,0,0,0,0,0
Idaho,ID,3/24/2020,0,0,3/25/2020,3/25/2020,3/25/2020,3/25/2020,3/25/2020,5/1/2020,5/16/2020,0,5/16/2020,5/30/2020,5/16/2020,5/1/2020,5/1/2020,5/30/2020,0,0,0,0,0,0
Illinois,IL,3/17/2020,3/23/2020,0,3/21/2020,3/16/2020,3/21/2020,3/21/2020,3/16/2020,5/29/2020,5/29/2020,1,5/29/2020,6/26/2020,5/29/2020,5/1/2020,5/29/2020,6/26/2020,5/29/2020,0,0,0,0,0
Indiana,IN,3/20/2020,0,0,3/25/2020,3/16/2020,3/25/2020,3/25/2020,3/16/2020,5/18/2020,5/18/2020,0,6/1/2020,6/12/2020,5/18/2020,5/8/2020,5/18/2020,6/12/2020,0,0,0,0,0,0
Iowa,IA,4/2/2020,0,0,3/26/2020,3/17/2020,3/17/2020,3/17/2020,3/17/2020,5/15/2020,5/15/2020,0,5/15/2020,5/22/2020,5/15/2020,5/1/2020,5/15/2020,5/28/2020,0,8/27/2020,0,0,0,0
Kansas,KS,3/18/2020,0,0,3/30/2020,3/30/2020,3/30/2020,3/30/2020,3/30/2020,5/4/2020,5/4/2020,0,5/18/2020,5/22/2020,5/18/2020,5/4/2020,5/4/2020,6/8/2020,0,0,0,0,0,0
Kentucky,KY,3/17/2020,3/23/2020,0,3/26/2020,3/16/2020,3/18/2020,3/18/2020,3/16/2020,5/11/2020,5/22/2020,0,6/1/2020,6/1/2020,5/25/2020,5/9/2020,5/20/2020,6/29/2020,6/8/2020,7/28/2020,7/28/2020,0,0,0
Louisiana,LA,3/16/2020,0,3/12/2020,3/23/2020,3/17/2020,3/17/2020,3/17/2020,3/17/2020,5/1/2020,5/1/2020,1,5/15/2020,5/15/2020,5/15/2020,5/15/2020,5/15/2020,6/5/2020,0,7/13/2020,7/13/2020,0,0,0
Maine,ME,4/2/2020,0,0,3/25/2020,3/18/2020,3/25/2020,3/25/2020,3/18/2020,5/1/2020,6/1/2020,1,6/17/2020,7/1/2020,6/17/2020,5/29/2020,6/1/2020,6/17/2020,0,0,0,0,0,0
Maryland,MD,3/16/2020,3/30/2020,4/5/2020,3/23/2020,3/16/2020,3/16/2020,3/16/2020,3/16/2020,5/15/2020,5/29/2020,1,6/19/2020,9/1/2020,5/15/2020,5/15/2020,5/15/2020,6/12/2020,6/19/2020,0,0,0,0,0
Massachusetts,MA,3/17/2020,3/23/2020,3/16/2020,3/24/2020,3/17/2020,3/24/2020,3/24/2020,3/17/2020,5/18/2020,6/8/2020,1,7/13/2020,7/13/2020,5/25/2020,5/18/2020,6/8/2020,0,6/8/2020,0,0,0,0,0
Michigan,MI,3/16/2020,3/24/2020,3/14/2020,3/24/2020,3/16/2020,3/16/2020,3/16/2020,3/16/2020,5/26/2020,6/8/2020,0,9/9/2020,10/9/2020,6/15/2020,0,6/4/2020,6/8/2020,6/8/2020,7/1/2020,7/31/2020,0,0,0
Minnesota,MN,3/18/2020,0,0,3/28/2020,3/17/2020,3/17/2020,3/17/2020,3/17/2020,4/27/2020,6/1/2020,1,6/10/2020,6/10/2020,6/1/2020,5/18/2020,5/18/2020,6/10/2020,0,0,0,0,0,0
Mississippi,MS,3/20/2020,0,3/24/2020,4/3/2020,4/3/2020,4/3/2020,4/3/2020,4/3/2020,4/27/2020,5/7/2020,0,5/11/2020,6/1/2020,5/11/2020,0,4/27/2020,6/1/2020,0,0,0,0,0,0
Missouri,MO,3/23/2020,0,3/23/2020,4/3/2020,3/23/2020,4/3/2020,4/3/2020,3/23/2020,5/4/2020,5/4/2020,0,5/4/2020,0,5/4/2020,5/27/2020,5/4/2020,5/4/2020,0,0,0,0,0,0
Montana,MT,3/16/2020,0,3/15/2020,3/28/2020,3/20/2020,3/20/2020,3/20/2020,3/20/2020,4/27/2020,5/4/2020,0,5/15/2020,5/15/2020,4/27/2020,4/26/2020,4/27/2020,5/4/2020,0,0,0,0,0,0
Nebraska,NE,4/3/2020,0,0,4/9/2020,4/3/2020,4/3/2020,4/9/2020,4/3/2020,6/1/2020,6/1/2020,0,0,6/22/2020,6/1/2020,5/4/2020,0,6/22/2020,0,0,0,0,0,0
Nevada,NV,3/16/2020,0,0,3/21/2020,3/21/2020,3/21/2020,3/21/2020,3/21/2020,5/9/2020,5/9/2020,0,5/29/2020,5/29/2020,5/9/2020,5/29/2020,5/9/2020,5/29/2020,0,7/10/2020,0,0,0,0
