State,Total Cases,Cases in Last 7 Days,Case Rate per 100000,Case Rate per 100000 in Last 7 Days,Total Deaths,Deaths in Last 7 Days,Death Rate per 100000,Death Rate per 100K in Last 7 Days,# Tests Performed,% Positive,Tests per 100K,White % of Cases,White % of Total Population,Black % of Cases,Black % of Total Population,Hispanic % of Cases,Hispanic % of Total Population,Other % of Cases,Other % of Total Population,White % of Deaths,White % of Total Population,Black % of Deaths,Black % of Total Population,Hispanic % of Deaths,Hispanic % of Total Population,Other % of Deaths,Other % of Total Population,State of emergency,Closed other non-essential businesses,Began to reopen businesses statewide,Stay at home/ shelter in place,End stay at home/shelter in place ,Mandate face mask use by all individuals in public spaces,No legal enforcement of face mask mandate,Mandate face mask use by employees in public-facing businesses,State ended statewide mask use by individuals in public spaces,Governor,Population density per square miles,Population 2018,Nonelderly Adults Who Have A Pre-Existing Condition,Percent at risk for serious illness due to COVID,All-cause deaths 2018,Number Homeless (2019),Medicaid Expenditures as a Percent of Total State Expenditures by Fund,Life Expectancy at Birth (years),Percent Unemployed (2018),Percent living under the federal poverty line (2018),"Weekly UI maximum amount with extra stimulus (through July 31, 2020) (dollars)",Median Annual Household Income,Children 0-18,Adults 19-25,Adults 26-34,Adults 35-54,Adults 55-64,65+,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplaces,Residential
Alabama,189149,12085,3870,35.3,2914,71,59,0.2,2103005,11-20%,43024,0.52,0.68,0.34,0.27,0.1,0.04,0.14,0.04,0.58,0.68,0.39,0.27,0.03,0.04,0.03,0.04,3/13/2020,3/28/2020,4/30/20,4/4/2020,4/30/2020,7/16/2020,1,5/11/2020,0,Kay Ivey (R),93.24,4887871,956536,43.1,54352,3261,0.24,75.5,5.6,16.8,875,"$73,181 ",0.24,0.09,0.12,0.25,0.14,0.17,-11,-6,20,-8,-22,5
Alaska,14456,2619,1960,50.7,77,9,10,0.2,795937,0-5%,107932,0.43,0.64,0.05,0.03,0.12,0.07,0.11,0.1,0.38,0.64,0.05,0.03,0.02,0.07,0,0.1,3/11/2020,3/24/2020,4/24/20,3/28/2020,4/24/2020,4/24/2020,0,4/24/2020,5/22/2020,Mike Dunleavy (R),1.11,737438,119208,32.8,4453,1907,0.2,78.8,6.8,10.9,970,"$56,581 ",0.27,0.09,0.13,0.26,0.13,0.12,-9,-7,21,-26,-24,10
Arizona,242480,7574,3381,15.1,5918,59,82,0.1,2356325,6-10%,32856,0.37,0.54,0.04,0.04,0.44,0.32,0.05,0.02,0.48,0.54,0.03,0.04,0.34,0.32,0.02,0.02,3/11/2020,3/31/2020,5/8/20,3/31/2020,5/16/2020,0,0,5/8/2020,0,Doug Ducey (R),62.91,7171646,1144927,39.1,59282,10007,0.33,79.9,5.4,14,840,"$45,869 ",0.24,0.09,0.12,0.24,0.12,0.18,-18,-11,-11,-21,-33,9
Arkansas,109712,6914,3640,32.8,1894,122,62,0.6,1304131,6-10%,43271,0.66,0.77,0.23,0.15,0.16,0.08,0.07,0.06,0.7,0.77,0.2,0.15,0.05,0.08,0.05,0.06,3/11/2020,4/6/2020,5/4/20,0,0,7/20/2020,0,5/11/2020,0,Asa Hutchinson (R),56.67,3013825,597470,43.5,32336,2717,0.28,76,4.5,17.2,1051,"$71,805 ",0.25,0.09,0.12,0.25,0.13,0.17,-7,-4,66,-3,-22,5
California,912904,32180,2308,11.6,17541,352,44,0.1,18098631,6-10%,45753,0.17,0.37,0.04,0.05,0.61,0.39,0.11,0.03,0.3,0.37,0.07,0.05,0.49,0.39,0.01,0.03,3/4/2020,3/19/2020,5/8/20,3/19/2020,0,6/18/2020,1,5/5/2020,0,Gavin Newsom (D),241.65,39557045,6093131,33.3,268818,151278,0.32,81.3,5.5,12.8,1050,"$69,117 ",0.24,0.09,0.14,0.26,0.12,0.14,-26,-11,-12,-39,-36,12
Colorado,102014,11792,1791,29.6,2268,70,39,0.2,1729772,0-5%,30370,0.46,0.68,0.04,0.04,0.43,0.22,0.03,0.03,0.63,0.68,0.06,0.04,0.24,0.22,0.03,0.03,3/11/2020,3/19/2020,5/1/20,3/26/2020,4/27/2020,7/16/2020,0,4/23/2020,0,Jared Polis  (D),54.72,5695564,789133,31.3,38526,9619,0.24,80.5,3.9,9.6,1218,"$74,168 ",0.24,0.09,0.14,0.26,0.13,0.14,-19,-6,-5,-31,-34,11
Connecticut,70446,5073,1972,20.3,4609,40,129,0.2,1312481,6-10%,36736,0.49,0.66,0.17,0.1,0.28,0.17,0.03,0.02,0.74,0.66,0.15,0.1,0.09,0.17,0.01,0.02,3/10/2020,3/23/2020,5/20/20,0,5/20/2020,4/20/2020,1,4/3/2020,0,Ned Lamont (D),644.54,3572665,529120,36,31230,3033,0.24,80.9,5.5,10.4,1249,"$62,852 ",0.22,0.08,0.11,0.27,0.15,0.17,-15,-9,32,-23,-27,9
Delaware,24553,866,2539,12.8,689,11,71,0.2,551651,0-5%,57037,0.42,0.62,0.28,0.21,0.23,0.09,0.05,0.03,0.65,0.62,0.26,0.21,0.07,0.09,0.02,0.03,3/13/2020,3/24/2020,5/8/20,3/24/2020,6/1/2020,4/28/2020,0,5/1/2020,0,John Carney (D),388.58,967171,159824,41.3,9433,921,0.21,78.7,5.7,12.5,1000,"$82,372 ",0.22,0.08,0.12,0.25,0.14,0.19,-11,-4,36,-34,-30,9
District of Columbia,17074,537,2431,10.9,645,3,91,0.1,566410,0-5%,80632,0.23,0.42,0.5,0.46,0.27,0.11,0.25,0.08,0.11,0.37,0.75,0.45,0.13,0.11,0,0.03,3/11/2020,3/25/2020,5/29/20,4/1/2020,5/29/2020,4/17/2020,0,4/15/2020,0,Mayor Muriel Bowser (D),11496.81,702455,113157,31.8,5008,6521,N/A,78.5,7.5,16.2,1044,"$52,594 ",0.2,0.1,0.21,0.27,0.1,0.12,-45,-19,-29,-64,-53,17
Florida,784331,26025,3682,17.5,16648,381,78,0.3,11454463,11-20%,53778,0.36,0.53,0.18,0.15,0.37,0.26,0.09,0.02,0.51,0.53,0.19,0.15,0.26,0.26,0.04,0.02,3/9/2020,4/3/2020,5/18/20,4/3/2020,5/18/2020,0,0,5/11/2020,0,Ron DeSantis (R),323.9,21299325,3526493,42.1,205426,28328,0.32,80.1,5.2,13.6,875,"$56,183 ",0.21,0.08,0.12,0.25,0.14,0.21,-20,-12,-19,-34,-29,8
